barriada,campana,bebes,ninos,adultos,seniors,desempleo,usuarios,ac01,ad01
BA04,2023O,179,259,683,120,9.8,1231,6,233
BA05,2023O,207,302,809,134,10.1,1440,3,257
BA06,2023O,235,338,950,159,12.5,1665,4,305
BA07,2023O,135,220,542,90,7.4,995,3,172
BA08,2023O,253,365,989,167,13.9,1765,6,330
BA09,2023O,269,415,1132,187,13.3,1989,4,336
BA10,2023O,161,244,637,117,9.4,1157,4,211
BA11,2023O,276,410,1087,178,13.9,1949,6,355
BA12,2023O,266,371,1010,165,12.1,1810,5,331
BA13,2023O,113,173,455,75,8.6,834,4,144
BA14,2023O,229,166,986,128,13.9,1522,5,289
BA15,2023O,260,263,897,82,12,1524,7,331
BA16,2023O,201,204,990,154,11.9,1548,4,258
BA01,2023I,252,344,986,156,12.9,1737,5,394
BA02,2023I,199,178,662,94,9.6,1152,3,310
BA03,2023I,215,334,904,151,13,1608,4,339
BA04,2023I,178,258,686,119,9.9,1251,4,283
BA05,2023I,206,303,809,135,11.1,1455,3,320
BA06,2023I,233,337,949,160,12.5,1671,3,366
BA07,2023I,134,219,545,90,8.5,986,3,213
BA08,2023I,254,366,991,168,11.9,1760,4,402
BA09,2023I,270,418,1135,187,14.4,1992,6,421
BA10,2023I,159,242,638,118,8.4,1152,4,247
BA11,2023I,276,410,1088,177,12.9,1943,6,429
BA12,2023I,268,370,1009,166,14.1,1805,4,426
BA13,2023I,115,175,456,76,8.6,832,2,188
BA14,2023I,229,166,989,128,12.9,1528,3,364
BA15,2023I,259,263,896,84,12,1523,5,402
BA16,2023I,203,202,993,154,13.9,1545,5,325
BA01,2024P,252,345,990,157,11.9,1745,5,268
BA02,2024P,198,178,661,94,10.6,1140,4,217
BA03,2024P,216,335,902,153,12,1598,5,231
BA04,2024P,181,259,686,119,8.9,1241,4,195
BA05,2024P,209,302,808,136,11.1,1447,4,219
BA06,2024P,236,339,948,160,13.5,1690,4,259
BA07,2024P,137,217,548,91,7.5,996,2,145
BA08,2024P,256,370,993,170,12.9,1771,4,280
BA09,2024P,270,421,1134,187,13.3,1995,5,293
BA10,2024P,157,243,640,120,8.4,1162,2,171
BA11,2024P,279,409,1086,178,13.9,1935,3,296
BA12,2024P,268,372,1010,167,13.1,1804,5,287
BA13,2024P,114,176,454,78,6.5,829,5,120
BA14,2024P,229,165,988,127,12.9,1530,5,250
BA15,2024P,262,266,896,83,13,1531,3,287
BA16,2024P,205,200,993,154,13.9,1564,5,226
