barriada,ano,camp,bebes,ninos,adultos,seniors,desempleo,usuarios,ac01,ad01
BA11,2023,I,276,410,1088,177,12.9,1938,5,438
BA12,2023,I,268,370,1009,166,14.1,1815,4,429
BA13,2023,I,115,175,456,76,8.6,833,4,187
BA14,2023,I,229,166,989,128,12.9,1528,4,366
BA15,2023,I,259,263,896,84,12,1534,4,400
BA16,2023,I,203,202,993,154,13.9,1556,5,322
BA01,2024,P,252,345,990,157,11.9,1734,6,266
BA02,2024,P,198,178,661,94,10.6,1142,5,211
BA03,2024,P,216,335,902,153,12,1606,5,230
BA04,2024,P,181,259,686,119,8.9,1247,2,190
BA05,2024,P,209,302,808,136,11.1,1443,5,226
BA06,2024,P,236,339,948,160,13.5,1674,3,262
BA07,2024,P,137,217,548,91,7.5,1005,2,151
BA08,2024,P,256,370,993,170,12.9,1773,3,276
BA09,2024,P,270,421,1134,187,13.3,1997,6,290
BA10,2024,P,157,243,640,120,8.4,1147,2,166
BA11,2024,P,279,409,1086,178,13.9,1948,5,305
BA12,2024,P,268,372,1010,167,13.1,1818,6,285
BA13,2024,P,114,176,454,78,6.5,834,4,121
BA14,2024,P,229,165,988,127,12.9,1521,3,247
BA15,2024,P,262,266,896,83,13,1550,3,284
BA16,2024,P,205,200,993,154,13.9,1551,4,220
